Cluster,ProdCat2,Gross_Turnover,Customer_Count,Cumulative_Turnover_Sum,Cluster_Total_Turnover,Cumulative_Gross_Turnover_Pct
0,TV and Entertainment Packages,5516453.8032,12,5516453.8032,55180367.281899996,9.99713136198983
0,Sports Subscription Packages,5046570.8827,69,10563024.685899999,55180367.281899996,19.14272268601741
0,News Subscription Packages,2714596.2884,70,13277620.9743,55180367.281899996,24.062219278948625
0,Mobile TV Services,2248625.9247,129,15526246.899,55180367.281899996,28.13726632097436
0,Over-the-Top (OTT) Services,2048242.9531,74,17574489.8521,55180367.281899996,31.849171576399964
0,Cloud and Hosting Services,1938408.0969,43,19512897.949,55180367.281899996,35.36202984897589
0,Local TV Channels,1618077.7003000001,37,21130975.6493,55180367.281899996,38.294372963028984
0,Mobile Plans (Prepaid),1601770.4420999999,130,22732746.0914,55180367.281899996,41.1971634318148
0,4G Services,1343099.5044,68,24075845.5958,55180367.281899996,43.63118040299317
0,5G Services,1335569.1828,37,25411414.7786,55180367.281899996,46.0515506335445
0,Network Infrastructure Services,1335326.8214999998,57,26746741.6001,55180367.281899996,48.47148164755573
0,Data Center Equipment - Storage Solutions,1274503.8929,19,28021245.493,55180367.281899996,50.78118699327939
0,Movie Subscription Packages,1268282.7643,71,29289528.2573,55180367.281899996,53.07961816866597
0,Business Intelligence (BI) Tools,1251674.5603,13,30541202.8176,55180367.281899996,55.34795131314391
0,Wholesale Telecom Services,1170716.3292999999,104,31711919.1469,55180367.281899996,57.4695688140191
0,Educational TV Channels,1094290.7242,71,32806209.8711,55180367.281899996,59.45268487160096
0,Mobile Plans (Postpaid),1091694.4068,52,33897904.2779,55180367.281899996,61.431095782175106
0,Network Security Solutions,933025.0106,71,34830929.288499996,55180367.281899996,63.12195986402046
0,Enterprise networking equipment,909129.8465,25,35740059.135,55180367.281899996,64.76952020347152
0,Cloud PBX Services,866831.1623,27,36606890.297299996,55180367.281899996,66.34042522820904
0,Premium TV Channels,715933.3033,125,37322823.6006,55180367.281899996,67.63786730510301
0,Music Streaming Services,631843.9697,6,37954667.5703,55180367.281899996,68.7829194329225
0,Network Equipment Sales,614772.6446,55,38569440.2149,55180367.281899996,69.89703424382854
0,International TV Channels,610820.4498000001,29,39180260.6647,55180367.281899996,71.00398673415812
0,Wi-Fi Calling Services,550493.3761999999,12,39730754.0409,55180367.281899996,72.00161216384707
0,Software as a Service (SaaS),546875.6583,32,40277629.6992,55180367.281899996,72.99268142495977
0,Network Design Services,528759.8859,72,40806389.5851,55180367.281899996,73.95092058128638
0,Kids Entertainment Packages,488043.3299,77,41294432.915,55180367.281899996,74.83537161693594
0,Managed IT Services,469555.7636,76,41763988.6786,55180367.281899996,75.68631876848566
0,Private Cloud Services,411317.5951,30,42175306.2737,55180367.281899996,76.43172445416859
0,Smart City Solutions,409684.98199999996,34,42584991.2557,55180367.281899996,77.17417145512282
0,Broadband Internet (Fiber),408944.2463,19,42993935.502,55180367.281899996,77.91527606613569
0,Data Center Equipment - Servers,343557.4256,52,43337492.9276,55180367.281899996,78.53788414673231
0,Network Maintenance Services,318355.31,29,43655848.2376,55180367.281899996,79.11481997677784
0,Carrier Services,305860.6131,55,43961708.8507,55180367.281899996,79.66911243289262
0,Interactive TV Services,304288.46739999996,30,44265997.3181,55180367.281899996,80.2205557856443
0,Network switches,276513.229,34,44542510.5471,55180367.281899996,80.72166377499018
0,Network Monitoring Services,268965.76170000003,28,44811476.3088,55180367.281899996,81.20909395160703
0,Data Warehousing,260565.4126,20,45072041.7214,55180367.281899996,81.6813006900451
0,Machine Learning Solutions,257428.1825,41,45329469.9039,55180367.281899996,82.14782201851845
0,Cloud-native Development,246931.1943,56,45576401.0982,55180367.281899996,82.59532029818467
0,Data Center Equipment - Rack Solutions,236521.6519,58,45812922.7501,55180367.281899996,83.0239540017113
0,Network Consulting Services,215351.3321,15,46028274.0822,55180367.281899996,83.41422203128027
0,Digital Strategy Development,213997.5366,55,46242271.6188,55180367.281899996,83.80203666018036
0,Smart TV Services,205611.3689,63,46447882.9877,55180367.281899996,84.17465355098427
